GetData.Serial No,GetData.CQM ID,GetData.Item No,GetData.Item Description,GetData.Date
1688,CQM67218,NNNAAEL104,SENSOR  P.C.B. - ( FT ),07/01/2017
295,CQM4C0D,CSDAAME114,PREFEED ROLLER ASSY,07/01/2017
295,CQM4C0D,CSDAAEL002,POWER P.C.B,07/01/2017
295,CQM4C0D,CSDAAME219,DETECTOR ROLLER ASSY,07/01/2017
295,CQM4C0D,NNNAAEM067,DPM COOLING FAN,07/01/2017
295,CQM4C0D,NNNMEGU021,O-RING ( collection path ),07/01/2017
295,CQM4C0D,NNNMEMO070,GAS SPRING,07/01/2017
295,CQM4C0D,NNNMEGU022,O-RING (FEEDER - Fat),07/01/2017
295,CQM4C0D,NNNMEMO053,TENSION SPRING (Feeder Pressure Plate),07/01/2017
295,CQM4C0D,CSDAAME110,FEED ROLLER ASSY,07/01/2017
295,CQM4C0D,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",07/01/2017
1249,CQM67120,CSDAAME344,FEED ROLLER ASSY (CSD2002E),07/01/2017
295,CQM4C0D,NNNMEZZ248,BLU RUBBER GUIDE,07/01/2017
295,CQM4C0D,CSDAAEL023,MOTHER P.C.B.,07/01/2017
2081,CQM58A0,NNNELEO016,PHOTOTRANSISTOR OP505A -- RX,06/01/2017
451,CQM4C36,CSDMEPC094,PRESSURE ROLLER (CSD2002E),05/01/2017
1652,CQM67216,NNNAAEM127,MICR READING HEAD  (CSD2002E),05/01/2017
867,CQM67043,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",05/01/2017
1915,CQM583E,CSDAAEM073,DC GEAR BOX MOTOR ASSY,04/01/2017
448,CQM4C74,NNNMECI020,FLAT BELT (SCANNER),04/01/2017
627,CQM67013,NNNEMZZ085  (VKP80)  (VKP80II-UE),RECEIPT THERMAL PRINTER (USB),03/01/2017
627,CQM67013,PCXSP-VKP80II,VKP80II PAPER ROLLER HOLD ( Paper Arm Support ),03/01/2017
1019,CQM4C47,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),03/01/2017
903,CQM67049,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),31/12/2016
903,CQM67049,NNNMECI036,"FLAT BELT (Yellow, Bend)",31/12/2016
1422,CQM67813,,2G RAM,31/12/2016
998,CQM67069,NNNMECI036,"FLAT BELT (Yellow, Bend)",30/12/2016
998,CQM67069,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),30/12/2016
1277,CQM67129,M40A932A01,2ND DRIVER ROLLER ( Card Reader ) (#2 DRIVER ROLLER),29/12/2016
847,CQM67027,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",29/12/2016
1277,CQM67129,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),29/12/2016
1839,CQM584C,NNNAAEL084,SENSOR  ASSY,29/12/2016
1509,CQM67821,NNNMEGU023,O-RING  (THICKNESS ADJUSTOR - SHAFT),29/12/2016
1809,CQM58B7,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),29/12/2016
1703,CQM67839,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),29/12/2016
1456,CQM67188,NNNMEGU023,O-RING  (THICKNESS ADJUSTOR - SHAFT),29/12/2016
555,CQM4C5B,NNNMECI011,TOOTHED BELT T2.5 230L6,29/12/2016
1020,CQM4C07,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",28/12/2016
1001,CQM67065,NNNMEMO070,GAS SPRING,28/12/2016
858,CQM67034,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",28/12/2016
1225,CQM4C28,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",28/12/2016
991,CQM67059,CSDMEPC094,PRESSURE ROLLER (CSD2002E),28/12/2016
2061,CQM58E8,NNNMESR010,MECHANICAL LOCK ( LOWER DOOR Lock ),28/12/2016
1507,CQM67201,CSDAAEL004,SMJ P.C.B,28/12/2016
1932,CQM5821,CSDAAME505,SUPPORT WITH BALL BEARING ( Stamp Drum ),24/12/2016
1238,CQM67114,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",23/12/2016
515,CQM5854,NNNMEPC016,GEAR WHEEL M=1 Z=27,22/12/2016
903,CQM67049,CSDMEPC050,SNAP FLASK ( Collection Bar ),22/12/2016
1128,CQM4C58,CSDAAEM073,DC GEAR BOX MOTOR ASSY,22/12/2016
997,CQM67068,NNNMEPC020,RUBBER STAMP PLATE (BOC NCB CYB),22/12/2016
279,CQM4C8F,NNNEMZZ083,HYBRID CARD READER-MOTORISED,22/12/2016
1800,CQM58CB,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),21/12/2016
951,CQM67051,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",21/12/2016
1800,CQM58CB,MRG445106,ROLLER ( Card Reader ),21/12/2016
1024,CQM4C54,CSDMEPC048,COLLECTION BOX WIRING,21/12/2016
1934,CQM5827,CSDAAEM073,DC GEAR BOX MOTOR ASSY,21/12/2016
1885,CQM5885,NNNAAEL099,SENSOR  P.C.B. - ( FD ),20/12/2016
1283,CQM67135,NNNELZZ050,MAIN POWER SUPPLY,20/12/2016
293,CQM4C25,NNNMEZZ249,BLACK RUBBER GUIDE,20/12/2016
1839,CQM67201,TTT80,VKP80II THERMIC HEAD,20/12/2016
293,CQM4C25,NNNAAEM067,DPM COOLING FAN,20/12/2016
1839,CQM584C,TTT80,VKP80II THERMIC HEAD,20/12/2016
1875,CQM5885,NNNAAEL098,SENSOR P.C.B. - ( FT ),20/12/2016
560,CQM4C77,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",20/12/2016
293,CQM4C25,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",20/12/2016
293,CQM4C25,NNNMEMO051,EXTENSION SPRING (Aligner or Feeder Pressure Plate - increase) 0.6mm,20/12/2016
293,CQM4C25,NNNMEZZ248,BLU RUBBER GUIDE,20/12/2016
1015,CQM4C45,NNNMECI020,FLAT BELT (SCANNER),20/12/2016
1304,CQM67151,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",19/12/2016
1319,CQM67160,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),19/12/2016
1831,CQM5863,CSDMEPC050,SNAP FLASK ( Collection Bar ),19/12/2016
1592,CQM67828,CSDMEPC094,PRESSURE ROLLER (CSD2002E),19/12/2016
1934,CQM5827,NNNMECI017,BELT (MICR Reader),19/12/2016
1142,CQM67111,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",19/12/2016
1507,CQM67201,NNNMECI017,BELT (MICR Reader),19/12/2016
1290,CQM67142,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),17/12/2016
552,CQM4C7F,NNNMESR001,MECHANICAL LOCK AND KEYS ( CSD Collection Box and Bar ),17/12/2016
445,CQM4C1F,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",17/12/2016
1290,CQM67142,NNNMEMO072,COMPRESSION SPRING (Text Printer),17/12/2016
620,CQM67004,NNNAAEL025/R,SENSOR ASSY  (U-shape),17/12/2016
498,CQM58C5,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),16/12/2016
413,CQM4C10,NNNAAEM026,SOLENOID ASSY,16/12/2016
496,CQM58D8,NNNELZZ050,MAIN POWER SUPPLY,16/12/2016
951,CQM67051,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,16/12/2016
1344,CQM4C23,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",16/12/2016
1240,CQM67116,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",16/12/2016
1808,CQM5895,CBXMEPT024,PLATE ( Endosement Print Head ),15/12/2016
1109,CQM67237,,2G RAM,15/12/2016
521,CQM4C8C,NNNMECI046,"FLAT BELT (beach colour, Collection Path)",14/12/2016
504,CQM58D6,NNNEMZZ085  (VKP80)  (VKP80II-UE),RECEIPT THERMAL PRINTER (USB),13/12/2016
281,CQM4C11,MRG445106,ROLLER ( Card Reader ),13/12/2016
305,CQM587D,CSDMEPC048,COLLECTION BOX WIRING,13/12/2016
281,CQM4C11,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),13/12/2016
991,CQM67059,NNNMEZZ090,INK RIBBON CARTRIDGE,12/12/2016
1445,CQM4C83,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",12/12/2016
446,CQM4C5A,NNNMECI033,TOOTHED BELT T2.5 330 H45 (Aligner),12/12/2016
991,CQM67059,CBXMEPC005,BLACK INK ROLLER,12/12/2016
863,CQM67227,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),12/12/2016
1300,CQM67147,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",12/12/2016
1931,CQM5878,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),11/12/2016
557,CQM4C71,NNNELZZ050,MAIN POWER SUPPLY,10/12/2016
1459,CQM67191,NNNMESR010,MECHANICAL LOCK ( LOWER DOOR Lock ),09/12/2016
794,CQM67020,NNNMEGU021,O-RING ( collection path ),09/12/2016
1250,CQM67121,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",09/12/2016
520,CQM4C14,CSDMEPC048,COLLECTION BOX WIRING,09/12/2016
781,CQM58A3,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),08/12/2016
542,CQM5807,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),08/12/2016
632,CDB67003,NNNMEMO070,GAS SPRING,08/12/2016
553,CQM4C7D,CBXMEPC005,BLACK INK ROLLER,08/12/2016
1835,CQM5828,TTT80,VKP80II THERMIC HEAD,07/12/2016
2060,CQM58E7,,HARD DISK SATA,07/12/2016
2063,CQM58EA,,HARD DISK SATA,07/12/2016
286,CQM58D4,NNNELZZ050,MAIN POWER SUPPLY,07/12/2016
2061,CQM58E8,,HARD DISK SATA,07/12/2016
396,CQM58C3,CSDMESF090,PAPER GUIDE (Collection Box),07/12/2016
850,CQM67030,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),07/12/2016
2062,CQM58E9,,HARD DISK SATA,07/12/2016
1803,CQM5867,NNNMERU089,ROLLER ( Ribbon Plate ),06/12/2016
1828,CQM5874,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,06/12/2016
1810,CQM58AE,NNNMERU089,ROLLER ( Ribbon Plate ),06/12/2016
1245,CQM587E,CSDAAME342,FEEDER PRSSURE PLATE ( CSD2002E ),06/12/2016
1950,CQM4C85,,HARD DISK SATA,06/12/2016
553,CQM4C7D,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),06/12/2016
789,CQM67018,NNNMECI017,BELT (MICR Reader),05/12/2016
791,CQM67021,CSDAAEM073,DC GEAR BOX MOTOR ASSY,05/12/2016
645,CQM58AC,NNNMEMO070,GAS SPRING,04/12/2016
2059,CQM589F,,HARD DISK SATA,03/12/2016
1916,CQM588F,,HARD DISK SATA,03/12/2016
2058,CQM589E,,HARD DISK SATA,03/12/2016
847,CQM67027,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),03/12/2016
1252,CQM67239,NNNAAEL025/R,SENSOR ASSY  (U-shape),02/12/2016
281,CQM4C11,CSDAACB002,BADGE READER WIRING,02/12/2016
1448,CQM4C86,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",02/12/2016
498,CQM58C5,CSDAACB002,BADGE READER WIRING,02/12/2016
1302,CQM67149,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,02/12/2016
987,CQM67056,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",01/12/2016
1429,CQM67197,NNNELZZ050,MAIN POWER SUPPLY,01/12/2016
1827,CQM58E4,CSDAAME505,SUPPORT WITH BALL BEARING ( Stamp Drum ),01/12/2016
443,CQM4C97,NNNELZZ050,MAIN POWER SUPPLY,01/12/2016
294,CQM4C3C,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",01/12/2016
541,CQM4C0F,NNNMEGU003,O-RING (INPUT SLOT),30/11/2016
1873,CQM4C1A,CSDAACB002,BADGE READER WIRING,30/11/2016
541,CQM4C0F,,HARD DISK SATA,30/11/2016
1873,CQM4C1A,NNNEMZZ083,HYBRID CARD READER-MOTORISED,30/11/2016
1954,CQM67236,NNNMEGU021,O-RING ( collection path ),30/11/2016
520,CQM4C14,NNNMECI036,"FLAT BELT (Yellow, Bend)",30/11/2016
541,CQM4C0F,NNNMEMO070,GAS SPRING,30/11/2016
541,CQM4C0F,NNNMEZZ248,BLU RUBBER GUIDE,30/11/2016
541,CQM4C0F,NNNMEZZ249,BLACK RUBBER GUIDE,30/11/2016
296,CQM4C1C,NNNMECI036,"FLAT BELT (Yellow, Bend)",30/11/2016
795,CQM67025,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),29/11/2016
413,CQM4C10,NNNMECI013,TOOTHED BELT T2.5 160L6,29/11/2016
1933,CQM5821,CSDAAEM073,DC GEAR BOX MOTOR ASSY,29/11/2016
1338,CQM67143,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,29/11/2016
1950,CQM4C85,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),29/11/2016
413,CQM4C10,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),29/11/2016
1316,CQM67157,CSDAAEM115     ( old code : CSDAAEM126 ),WHITE CIS MODULE,29/11/2016
648,CQM4C5F,NNNMEMO070,GAS SPRING,29/11/2016
858,CQM67034,NNNMEGU022,O-RING (FEEDER - Fat),28/11/2016
305,CQM587D,NNNEMZZ085  (VKP80)  (VKP80II-UE),RECEIPT THERMAL PRINTER (USB),28/11/2016
1093,CQM67223,CSDMEPC094,PRESSURE ROLLER (CSD2002E),28/11/2016
1147,CQM584A,NNNMECI036,"FLAT BELT (Yellow, Bend)",28/11/2016
1020,CQM4C07,NNNMECI017,BELT (MICR Reader),28/11/2016
1020,CQM4C07,NNNMECI044,TOOTHED BELT T2.5 380H6,28/11/2016
305,CQM587D,PCXSP-VKP80II,VKP80II PAPER ROLLER HOLD ( Paper Arm Support ),28/11/2016
1023,CQM4C51,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",28/11/2016
1251,CQM67179,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),28/11/2016
1914,CQM581D,NNNAAEL083,SENSOR  ASSY,27/11/2016
304,CQM587F,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,26/11/2016
344,CQM5871,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,26/11/2016
1829,CQM5875,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,26/11/2016
645,CQM58AC,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,26/11/2016
304,CQM58CA,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,26/11/2016
1308,CQM67155,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),26/11/2016
1277,CQM67129,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),25/11/2016
1879,CQM5868,CSDMEPC048,COLLECTION BOX WIRING,25/11/2016
522,CQM4C96,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),25/11/2016
260,CQM586F,NNNMESR006,CSD2002  MECHANICAL LOCK ( UPPER DOOR Lock ) and GQM  BOX LOCK,25/11/2016
594,CQM4C5D,CBXMEPC005,BLACK INK ROLLER,25/11/2016
1550,CQM67209,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),24/11/2016
1550,CQM67209,M40A932A01,2ND DRIVER ROLLER ( Card Reader ) (#2 DRIVER ROLLER),24/11/2016
1811,CQM5865,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,24/11/2016
453,CQM58C8,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,24/11/2016
557,CQM4C71,NNNMECI036,"FLAT BELT (Yellow, Bend)",24/11/2016
539,CQM4C7C,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),23/11/2016
539,CQM4C7C,MRG445106,ROLLER ( Card Reader ),23/11/2016
1120,CQM5841,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,23/11/2016
1427,CQM67185,NNNMEGU021,O-RING ( collection path ),23/11/2016
451,CQM4C36,NNNMEZZ249,BLACK RUBBER GUIDE,23/11/2016
451,CQM4C36,NNNMECI036,"FLAT BELT (Yellow, Bend)",23/11/2016
451,CQM4C36,NNNMEZZ248,BLU RUBBER GUIDE,23/11/2016
858,CQM67034,NNNMEMO070,GAS SPRING,22/11/2016
620,CQM67004,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",22/11/2016
1948,CQM5859,CSDAAME505,SUPPORT WITH BALL BEARING ( Stamp Drum ),22/11/2016
1463,CQM67194,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",22/11/2016
542,CQM5807,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,22/11/2016
536,CQM4C60,NNNMESR006,CSD2002  MECHANICAL LOCK ( UPPER DOOR Lock ) and GQM  BOX LOCK,22/11/2016
420,CQM4C13,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,21/11/2016
1185,CQM4C2E,CSDAAME219,DETECTOR ROLLER ASSY,21/11/2016
420,CQM4C13,NNNMEZZ249,BLACK RUBBER GUIDE,21/11/2016
420,CQM4C13,,HARD DISK SATA,21/11/2016
420,CQM4C13,NNNMEZZ248,BLU RUBBER GUIDE,21/11/2016
1185,CQM4C2E,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),21/11/2016
646,CQM4C32,NNNELZZ050,MAIN POWER SUPPLY,21/11/2016
305,CQM587D,NNNAAEM026,SOLENOID ASSY,20/11/2016
417,CQM581A,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),20/11/2016
1810,CQM58AE,,HARD DISK SATA,19/11/2016
541,CQM4C0F,NNNMESR001,MECHANICAL LOCK AND KEYS ( CSD Collection Box and Bar ),19/11/2016
628,CQM67229,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,18/11/2016
1148,CQM58DB,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,18/11/2016
2056,CQM580B,,HARD DISK SATA,18/11/2016
2057,CQM580C,,HARD DISK SATA,18/11/2016
1862,CQM5845,CBXMEPC005,BLACK INK ROLLER,17/11/2016
1319,CQM67160,CSDMEPC094,PRESSURE ROLLER (CSD2002E),16/11/2016
295,CQM4C1D,NNNELEO015,PHOTODIODE OP165A -- TX,16/11/2016
295,CQM4C1D,NNNELEO016,PHOTOTRANSISTOR OP505A -- RX,16/11/2016
1319,CQM67160,CSDMEPC044,PRESSURE ROLLER WITH SHAFT (CSD2002),16/11/2016
1821,CQM5823,NNNAAEL084,SENSOR  ASSY,16/11/2016
1147,CQM584A,CSDAAEL024,DOT MATRIX P.C.B (024),16/11/2016
1810,CQM58AE,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),16/11/2016
1300,CQM67147,CSDMERU047,ROLLER (Collection Bin),15/11/2016
1863,CQM585F,NNNMERU089,ROLLER ( Ribbon Plate ),15/11/2016
417,CQM581A,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,15/11/2016
295,CQM4C1D,NNNMECI036,"FLAT BELT (Yellow, Bend)",15/11/2016
1300,CQM67147,NNNMEBR020,SPACER ( Collection Bin ),15/11/2016
1442,CQM5800,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,14/11/2016
303,CQM4C2E,NNNMECI036,"FLAT BELT (Yellow, Bend)",14/11/2016
364,CQM58B3,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,14/11/2016
627,CQM6713,CSDAAEM073,DC GEAR BOX MOTOR ASSY,14/11/2016
1255,CQM4C28,NNNAAEL079,SENSOR P.C.B.  FT,14/11/2016
834,CQM58C9,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,12/11/2016
498,CQM58C5,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,12/11/2016
348,CQM58B8,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,12/11/2016
1245,CQM587E,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,12/11/2016
1126,CQM4C26,NNNMECI020,FLAT BELT (SCANNER),12/11/2016
1149,CQM58EC,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,12/11/2016
248,CQM4C0E,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",12/11/2016
1343,CQM4C81,CBXMEPC005,BLACK INK ROLLER,11/11/2016
1441,CQM589D,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,11/11/2016
1304,CQM67151,NNNMEZZ090,INK RIBBON CARTRIDGE,11/11/2016
994,CQM67228,NNNMEMO070,GAS SPRING,11/11/2016
1416,CQM67173,NNNMECI036,"FLAT BELT (Yellow, Bend)",11/11/2016
1005,CQM67074,NNNMECI017,BELT (MICR Reader),11/11/2016
689,CQM67222,NNNMEGU021,O-RING ( collection path ),10/11/2016
414,CQM4C42,NNNMEZZ249,BLACK RUBBER GUIDE,10/11/2016
414,CQM4C42,NNNEMAQ010,PRINT HEAD 9 NEEDLES  (Text Printer),10/11/2016
954,CQM58CF,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,10/11/2016
1234,CQM67113,NNNMECI020,FLAT BELT (SCANNER),10/11/2016
989,CQM67226,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",10/11/2016
1857,CQM54D1,NNNEMAQ010,PRINT HEAD 9 NEEDLES  (Text Printer),10/11/2016
414,CQM4C42,CSDAAME219,DETECTOR ROLLER ASSY,10/11/2016
12282,CQM58D1,CSDAAEM073,DC GEAR BOX MOTOR ASSY,10/11/2016
443,CQM4C97,NNNMEGU021,O-RING ( collection path ),10/11/2016
1857,CQM58D1,CSDAAEL024,DOT MATRIX P.C.B (024),10/11/2016
414,CQM4C42,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",10/11/2016
414,CQM4C42,CSDAAME110,FEED ROLLER ASSY,10/11/2016
443,CQM4C97,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,10/11/2016
414,CQM4C42,NNNMEZZ248,BLU RUBBER GUIDE,10/11/2016
1128,CQM4C58,CSDMEAQ016  (a.k.a. CSDMESF093),PAPER GUIDE  (Input Slot),09/11/2016
1244,CQM5837,CSDMEPC048,COLLECTION BOX WIRING,09/11/2016
2068,CQM67246,NNNMECI036,"FLAT BELT (Yellow, Bend)",09/11/2016
1244,CQM5837,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,09/11/2016
1253,CQM67124,CSDMEPC048,COLLECTION BOX WIRING,09/11/2016
414,CQM4C42,,HARD DISK SATA,09/11/2016
633,CQM67001,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),08/11/2016
412,CQM4C09,NNNMECI027,TOOTHED BELT T2.5 330L6,08/11/2016
1237,CQM67107,CSDMEPC048,COLLECTION BOX WIRING,08/11/2016
633,CQM67001,M40A932A01,2ND DRIVER ROLLER ( Card Reader ) (#2 DRIVER ROLLER),08/11/2016
1432,CQM5869,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,07/11/2016
445,CQM4C1F,NNNMECI011,TOOTHED BELT T2.5 230L6,07/11/2016
295,CQM4C1D,NNNMECI008,TOOTHED BELT T2.5 285L6,07/11/2016
413,CQM4C10,CSDMEPC048,COLLECTION BOX WIRING,07/11/2016
1800,CQM58CB,NNNMESR012,CSD2002E / GQM  MECHANICAL LOCK ( UPPER DOOR Lock ),07/11/2016
629,CQM67002,NNNMECI036,"FLAT BELT (Yellow, Bend)",07/11/2016
1120,CQM5841,NNNEMAQ010,PRINT HEAD 9 NEEDLES  (Text Printer),07/11/2016
1024,CQM4C54,CSDAAEM073,DC GEAR BOX MOTOR ASSY,07/11/2016
1225,CQM4C28,CSDAAME344,FEED ROLLER ASSY (CSD2002E),06/11/2016
644,CQM58AF,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,05/11/2016
1928,CQM587B,NNNMECI018,TOOTHED BELT T2.5/420 L6,05/11/2016
560,CQM4C77,NNNAAEM068,SOLENOID ASSY   -  Sorter / Collection Bin,05/11/2016
396,CQM58C3,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,05/11/2016
1140,CQM4C6E,NNNMECI017,BELT (MICR Reader),05/11/2016
1928,CQM587B,CSDAAEM073,DC GEAR BOX MOTOR ASSY,05/11/2016
302,CQM4C01,NNNMECI044,TOOTHED BELT T2.5 380H6,04/11/2016
305,CQM587D,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,04/11/2016
399,CQM5812,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,04/11/2016
1114,CQM67104,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",04/11/2016
862,CQM67038,MRG452107,RUBBER ROLLER ( Card Reader ) (#1 DRIVER ROLLER),04/11/2016
1289,CQM67165,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",04/11/2016
1552,CQM67826,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),04/11/2016
626,CQM67208,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),03/11/2016
626,CQM67065,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),03/11/2016
1304,CQM67151,NNNMESR001,MECHANICAL LOCK AND KEYS ( CSD Collection Box and Bar ),03/11/2016
1127,CQM4C0C,NNNMECI032,"FLAT BELT (black colour, COLLECTION PATH)",03/11/2016
842,CQM5849,CSDKTME011,ANTI-SKIMMING BEZEL FOR CSD 2002 (Card Reader Gate)  Green,03/11/2016
1450,CQM5832,CSDMEPC048,COLLECTION BOX WIRING,03/11/2016
990,CQM67058,CBXMEPC005,BLACK INK ROLLER,03/11/2016
1127,CQM4C0C,NNNMECI017,BELT (MICR Reader),03/11/2016
990,CQM67058,NNNMEZZ090,INK RIBBON CARTRIDGE,03/11/2016
1324,CQM67071,NNNMECI035,"TOOTHED BELT T2.5 380L8 ( red, escrow )",03/11/2016
796,CQM67024,CSDMEPC130/B,ROLLER  RECOATION  (downside of bend),02/11/2016
1240,CQM67116,PMRU - 036,VKP80II EJECTION BLACK RUBBER ROLLER,02/11/2016
1005,CQM67074,CSDAAME339,PREFEED ROLLER ASSY (CSD2002E),02/11/2016
1446,CQM4C2B,NNNMEGU021,O-RING ( collection path ),02/11/2016
1001,CQM67065,NNNMECI036,"FLAT BELT (Yellow, Bend)",02/11/2016
451,CQM4C25,NNNMEPC035,RUBBER STAMP PLATE (HSBC HASE),02/11/2016
